[2026-04-12 04:32:57] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.08 GY=5.12 GZ=0.09 | Temp=32.28 | Frame=330
[2026-04-12 04:32:58] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1943 | PulsemV=1641 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.94 GY=5.19 GZ=-0.47 | Temp=32.28 | Frame=331
[2026-04-12 04:32:58] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.88 GY=5.24 GZ=-0.17 | Temp=32.24 | Frame=332
[2026-04-12 04:32:59] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1952 | PulsemV=1648 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.87 GY=5.30 GZ=-0.05 | Temp=32.27 | Frame=333
[2026-04-12 04:32:59] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1959 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.07 GY=5.32 GZ=-0.09 | Temp=32.24 | Frame=334
[2026-04-12 04:33:00] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1957 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.77 GY=5.19 GZ=-0.19 | Temp=32.26 | Frame=335
[2026-04-12 04:33:00] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1962 | PulsemV=1655 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.95 GY=5.23 GZ=-0.20 | Temp=32.26 | Frame=336
[2026-04-12 04:33:01] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1974 | PulsemV=1665 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.89 GY=5.22 GZ=-0.08 | Temp=32.27 | Frame=337
[2026-04-12 04:33:01] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1958 | PulsemV=1652 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.80 GY=5.34 GZ=-0.08 | Temp=32.25 | Frame=338
[2026-04-12 04:33:02] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1963 | PulsemV=1656 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.96 GY=5.29 GZ=-0.16 | Temp=32.25 | Frame=339
[2026-04-12 04:33:02] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1953 | PulsemV=1648 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=2.85 GY=5.41 GZ=-0.20 | Temp=32.25 | Frame=340
[2026-04-12 04:33:03] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1948 | PulsemV=1644 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.84 GY=5.27 GZ=-0.11 | Temp=32.27 | Frame=341
[2026-04-12 04:33:03] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1955 | PulsemV=1650 | AX=-0.06 AY=0.05 AZ=-0.50 | GX=3.08 GY=5.29 GZ=-0.12 | Temp=32.25 | Frame=342
[2026-04-12 04:33:04] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1962 | PulsemV=1655 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=2.80 GY=5.30 GZ=-0.06 | Temp=32.28 | Frame=343
[2026-04-12 04:33:04] BPM=0 | Inst=0 | Finger=NO | PulseRaw=1961 | PulsemV=1654 | AX=-0.06 AY=0.04 AZ=-0.50 | GX=3.27 GY=5.45 GZ=-0.08 | Temp=32.27 | Frame=344
